epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3562,2.54037,5.06261,2.43403,0,0,0,0,1.66694,5.04128,1.70017,0.000151515,0.000151515,0.000151515
2,49.1251,1.70576,4.85735,1.84084,0,0,0,0,1.22002,5.01011,1.48274,0.000318104,0.000318104,0.000318104
3,66.8589,1.4494,4.69756,1.66203,0.06055,0.08631,0.02966,0.02061,1.18317,4.79677,1.25352,0.000484375,0.000484375,0.000484375
4,78.5844,1.38706,4.2817,1.44313,0.03165,0.64683,0.11634,0.06342,1.20254,4.60708,1.29448,0.000498902,0.000498902,0.000498902
5,97.0372,1.4186,4.09147,1.43209,0.017,0.76488,0.14512,0.08004,1.33194,4.51748,1.41277,0.000498048,0.000498048,0.000498048
6,114.286,1.36406,3.73154,1.46415,0.86886,0.01786,0.16566,0.099,1.34889,4.23664,1.36177,0.000496953,0.000496953,0.000496953
7,131.014,1.40338,3.73266,1.4899,0.76679,0.19048,0.2264,0.13855,1.42812,4.05122,1.40418,0.000495616,0.000495616,0.000495616
8,146.775,1.42328,3.54265,1.50289,0.82601,0.16369,0.28793,0.21219,1.25248,3.87618,1.35362,0.000494039,0.000494039,0.000494039
9,163.678,1.43399,3.36683,1.49231,0.55118,0.24294,0.33645,0.20132,1.3579,3.74568,1.34363,0.000492224,0.000492224,0.000492224
10,182.192,1.37077,3.25041,1.43741,0.2976,0.24929,0.33873,0.19358,1.36831,3.72641,1.3586,0.000490173,0.000490173,0.000490173
11,197.695,1.34871,3.20135,1.44176,0.57446,0.21975,0.35688,0.21071,1.41336,3.5872,1.50925,0.000487886,0.000487886,0.000487886
12,214.286,1.37946,3.18934,1.46909,0.45761,0.37665,0.41223,0.19621,1.67736,3.55474,1.73296,0.000485368,0.000485368,0.000485368
13,231.353,1.29029,2.82395,1.38699,0.37292,0.44691,0.4431,0.27867,1.35801,3.24122,1.44583,0.00048262,0.00048262,0.00048262
14,247.004,1.36172,2.83899,1.40719,0.37564,0.51761,0.40313,0.23097,1.46282,3.36875,1.45076,0.000479644,0.000479644,0.000479644
15,262.775,1.31949,2.83421,1.39618,0.48194,0.37648,0.37783,0.22166,1.51144,3.49471,1.39875,0.000476445,0.000476445,0.000476445
16,279.083,1.19361,2.57706,1.35324,0.28844,0.53409,0.37738,0.26677,1.10233,3.90228,1.27854,0.000473024,0.000473024,0.000473024
17,294.74,1.23323,2.66521,1.34866,0.55271,0.35635,0.39546,0.28569,1.10434,3.25617,1.30557,0.000469386,0.000469386,0.000469386
18,311.158,1.21682,2.47208,1.35192,0.49081,0.51879,0.4742,0.31632,1.26273,2.92322,1.364,0.000465534,0.000465534,0.000465534
19,325.739,1.19603,2.46327,1.29609,0.42906,0.63981,0.56805,0.37878,1.16309,2.81326,1.32744,0.000461471,0.000461471,0.000461471
20,342.713,1.26753,2.46581,1.33585,0.53184,0.55751,0.55731,0.33416,1.45694,2.84952,1.40639,0.000457202,0.000457202,0.000457202
21,358.184,1.1634,2.28857,1.27722,0.7386,0.48795,0.56402,0.34087,1.48942,2.72727,1.43853,0.000452732,0.000452732,0.000452732
22,372.789,1.12187,2.29797,1.27204,0.72295,0.60894,0.63996,0.42028,1.3464,2.58614,1.37374,0.000448063,0.000448063,0.000448063
23,387.686,1.15447,2.1928,1.29671,0.69278,0.64756,0.68412,0.44783,1.37456,2.5865,1.38308,0.000443202,0.000443202,0.000443202
24,403.756,1.10765,2.18339,1.26205,0.66369,0.56973,0.64299,0.43002,1.11853,2.55093,1.28793,0.000438152,0.000438152,0.000438152
25,419.474,1.18077,2.24666,1.32902,0.5478,0.69913,0.6388,0.43761,1.12015,2.50892,1.27976,0.00043292,0.00043292,0.00043292
26,435.02,1.07048,1.93986,1.2344,0.57583,0.70455,0.63267,0.43116,1.08921,2.50183,1.28008,0.000427509,0.000427509,0.000427509
27,450.599,1.17426,2.14902,1.29206,0.61807,0.61987,0.60615,0.41699,1.04142,2.62327,1.24872,0.000421925,0.000421925,0.000421925
28,465.835,1.14865,2.08047,1.29446,0.78493,0.49629,0.61747,0.39611,1.1675,2.67059,1.27019,0.000416175,0.000416175,0.000416175
29,481.944,1.09142,2.00481,1.26278,0.59374,0.55378,0.61245,0.3858,1.15288,2.63103,1.25172,0.000410262,0.000410262,0.000410262
30,497.971,1.13095,2.07112,1.29389,0.76734,0.61332,0.69784,0.47128,1.14361,2.47892,1.28351,0.000404194,0.000404194,0.000404194
31,515.176,1.09369,1.89072,1.24894,0.77306,0.5453,0.6695,0.44072,1.19414,2.43176,1.30401,0.000397977,0.000397977,0.000397977
32,531.094,1.00408,1.6901,1.18244,0.84662,0.51343,0.65949,0.44112,1.28146,2.50378,1.36131,0.000391616,0.000391616,0.000391616
33,546.032,1.06411,1.8405,1.24265,0.67752,0.60919,0.68956,0.46536,1.15214,2.33143,1.31208,0.000385117,0.000385117,0.000385117
34,561.511,1.06453,1.82703,1.22867,0.61349,0.60057,0.64114,0.4144,1.00153,2.44385,1.23962,0.000378488,0.000378488,0.000378488
35,577.786,1.0762,1.82099,1.26166,0.81654,0.59908,0.71334,0.49447,1.12864,2.32502,1.30466,0.000371734,0.000371734,0.000371734
36,594.276,1.06038,1.75116,1.25123,0.72891,0.6179,0.71936,0.49764,1.2266,2.41431,1.34616,0.000364863,0.000364863,0.000364863
37,609.266,1.02134,1.68028,1.19637,0.6853,0.65798,0.72202,0.51083,1.01919,2.27041,1.27349,0.00035788,0.00035788,0.00035788
38,626.818,1.04156,1.74227,1.20686,0.84085,0.66996,0.73341,0.47449,1.07749,2.13329,1.26975,0.000350794,0.000350794,0.000350794
39,641.373,1.02073,1.64988,1.18505,0.86383,0.68865,0.75984,0.50705,1.06374,2.0496,1.26687,0.000343611,0.000343611,0.000343611
40,657.219,1.00079,1.57451,1.17183,0.78143,0.63281,0.75171,0.51962,1.04958,1.99611,1.27357,0.000336338,0.000336338,0.000336338
41,673.041,0.99627,1.53775,1.16446,0.80941,0.7384,0.78068,0.515,1.11484,1.95668,1.28873,0.000328982,0.000328982,0.000328982
42,688.346,1.07689,1.72686,1.21553,0.88135,0.67851,0.79179,0.51888,1.05508,1.91761,1.32233,0.00032155,0.00032155,0.00032155
43,704.93,1.03189,1.70347,1.19274,0.79447,0.77118,0.78667,0.51785,1.31261,1.95294,1.37837,0.000314051,0.000314051,0.000314051
44,719.55,1.07544,1.66446,1.23315,0.83491,0.67099,0.73515,0.5183,1.19057,1.86975,1.33758,0.00030649,0.00030649,0.00030649
45,735.038,1.03928,1.63473,1.22361,0.75876,0.69841,0.73979,0.52847,1.06965,1.82027,1.29372,0.000298877,0.000298877,0.000298877
46,751.709,1.0153,1.59298,1.17074,0.81494,0.62794,0.70932,0.49118,1.14089,1.94169,1.28527,0.000291218,0.000291218,0.000291218
47,768.731,0.96337,1.44021,1.15917,0.7757,0.7217,0.74792,0.53698,1.02708,1.92335,1.30633,0.00028352,0.00028352,0.00028352
48,785.096,0.97994,1.42154,1.16843,0.7424,0.69472,0.73492,0.52366,0.95384,1.98705,1.31956,0.000275792,0.000275792,0.000275792
49,799.793,0.97848,1.48906,1.17584,0.60912,0.7261,0.73572,0.54268,0.95212,1.93667,1.29508,0.000268041,0.000268041,0.000268041
50,816.051,0.91565,1.43415,1.15029,0.75072,0.68857,0.75183,0.54883,0.93063,1.80951,1.28866,0.000260274,0.000260274,0.000260274
51,830.539,0.9421,1.48476,1.16509,0.76146,0.70746,0.75374,0.54927,0.94034,1.76134,1.29134,0.0002525,0.0002525,0.0002525
52,845.627,0.95288,1.39579,1.13806,0.81751,0.63355,0.7482,0.5419,0.99659,1.78638,1.29301,0.000244726,0.000244726,0.000244726
53,861.751,0.90489,1.383,1.12273,0.81229,0.73977,0.78414,0.54126,1.05555,1.78088,1.29471,0.000236959,0.000236959,0.000236959
54,877.188,0.97508,1.38884,1.17506,0.91156,0.67934,0.80195,0.54453,1.0411,1.7834,1.27911,0.000229208,0.000229208,0.000229208
55,893.272,0.90441,1.38785,1.11644,0.78603,0.69844,0.77315,0.5482,0.96667,1.73164,1.28568,0.00022148,0.00022148,0.00022148
56,908.89,0.82975,1.30247,1.08448,0.70554,0.77709,0.75947,0.5347,0.96579,1.80867,1.28769,0.000213782,0.000213782,0.000213782
57,924.341,0.86531,1.26902,1.09913,0.74962,0.76829,0.73759,0.52275,0.9511,1.78506,1.28577,0.000206123,0.000206123,0.000206123
58,940.744,0.89154,1.29976,1.12395,0.64956,0.74008,0.74451,0.52733,0.92637,1.71919,1.27226,0.00019851,0.00019851,0.00019851
