epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.612,1.39412,5.96153,1.39314,0.30788,0.15386,0.06849,0.05007,1.06787,3.90726,1.0666,0.000174417,0.000174417,0.000174417
2,381.605,1.16883,2.41288,1.25463,0.42024,0.30287,0.23016,0.1745,0.90368,2.67072,1.00634,0.000181956,0.000181956,0.000181956
3,539.885,1.12721,1.74751,1.20923,0.48292,0.32299,0.33,0.25169,0.8357,1.92573,0.95721,0.000181822,0.000181822,0.000181822
4,696.25,1.11716,1.51846,1.2007,0.48446,0.44427,0.45127,0.34766,0.818,1.45615,0.9447,0.0001816,0.0001816,0.0001816
5,842.267,1.09558,1.32416,1.17787,0.64579,0.38687,0.44763,0.3641,0.74515,1.32371,0.92101,0.00018129,0.00018129,0.00018129
6,996.803,1.0517,1.15868,1.15576,0.62275,0.44313,0.50115,0.43604,0.584,1.20895,0.89482,0.000180891,0.000180891,0.000180891
7,1144.31,1.04275,1.07884,1.1536,0.5284,0.51883,0.55005,0.46673,0.64431,1.05357,0.90635,0.000180404,0.000180404,0.000180404
8,1294.14,1.05763,1.04661,1.1631,0.51325,0.52438,0.55318,0.48463,0.56465,1.00573,0.87871,0.00017983,0.00017983,0.00017983
9,1447.86,1.01642,0.94995,1.13822,0.45243,0.60791,0.54772,0.47874,0.55374,1.02727,0.8875,0.00017917,0.00017917,0.00017917
10,1591.92,1.01923,0.93411,1.13811,0.42818,0.59046,0.57956,0.49413,0.60226,0.94925,0.89724,0.000178423,0.000178423,0.000178423
11,1742.92,1.00483,0.87943,1.12863,0.4503,0.52765,0.51276,0.44594,0.54791,1.11264,0.88278,0.000177591,0.000177591,0.000177591
12,1899.44,0.96759,0.81135,1.11357,0.59839,0.50909,0.57286,0.49892,0.545,0.94399,0.87831,0.000176674,0.000176674,0.000176674
13,2059.01,0.95496,0.80582,1.11598,0.62443,0.52107,0.57954,0.50956,0.51368,0.98443,0.88171,0.000175674,0.000175674,0.000175674
14,2216.24,0.96214,0.77389,1.10983,0.52339,0.5452,0.59913,0.53276,0.5162,0.89174,0.89207,0.000174591,0.000174591,0.000174591
15,2397.19,0.95845,0.80156,1.11877,0.64542,0.57997,0.61963,0.54593,0.49468,0.79364,0.86868,0.000173426,0.000173426,0.000173426
16,2548.62,0.93434,0.72102,1.09961,0.60638,0.58347,0.67218,0.59605,0.49713,0.76297,0.86635,0.000172181,0.000172181,0.000172181
17,2712.69,0.933,0.74314,1.10189,0.64216,0.60284,0.6496,0.58279,0.49523,0.7433,0.87135,0.000170856,0.000170856,0.000170856
18,2863.63,0.94019,0.69918,1.11796,0.62568,0.57452,0.66736,0.59135,0.52337,0.76068,0.88359,0.000169454,0.000169454,0.000169454
19,3021.98,0.91383,0.68224,1.09811,0.52972,0.63682,0.65826,0.58349,0.50543,0.74371,0.87614,0.000167976,0.000167976,0.000167976
20,3186.73,0.91439,0.70508,1.09732,0.69674,0.55739,0.66121,0.58813,0.50412,0.75652,0.87473,0.000166422,0.000166422,0.000166422
21,3345.17,0.89256,0.68227,1.08735,0.64071,0.64307,0.67191,0.59779,0.51667,0.66418,0.87575,0.000164794,0.000164794,0.000164794
22,3488.3,0.90814,0.65849,1.0968,0.67086,0.6065,0.6777,0.59594,0.54707,0.68847,0.88647,0.000163095,0.000163095,0.000163095
23,3619.68,0.88505,0.65822,1.08577,0.61598,0.61543,0.68276,0.61341,0.46485,0.70655,0.85283,0.000161326,0.000161326,0.000161326
24,3768.11,0.89464,0.62719,1.08208,0.63535,0.60695,0.67037,0.60434,0.47186,0.72165,0.86469,0.000159488,0.000159488,0.000159488
25,3918.41,0.86471,0.62296,1.07958,0.64344,0.56582,0.64132,0.57874,0.45073,0.75813,0.8514,0.000157583,0.000157583,0.000157583
26,4055.1,0.88283,0.62437,1.08478,0.58043,0.63821,0.69773,0.62379,0.47442,0.65955,0.85915,0.000155613,0.000155613,0.000155613
27,4197.28,0.86033,0.59115,1.07546,0.56449,0.66295,0.66435,0.59413,0.49254,0.69936,0.8668,0.000153581,0.000153581,0.000153581
28,4344.31,0.85622,0.58111,1.08334,0.56848,0.68022,0.67752,0.60936,0.49119,0.70156,0.86244,0.000151488,0.000151488,0.000151488
29,4511.8,0.84587,0.59165,1.06988,0.61296,0.57366,0.67736,0.61434,0.45197,0.69084,0.86481,0.000149336,0.000149336,0.000149336
30,4653.63,0.85369,0.62278,1.07346,0.66653,0.65646,0.70726,0.63762,0.47798,0.66644,0.863,0.000147127,0.000147127,0.000147127
31,4790.88,0.86542,0.56887,1.08145,0.57211,0.70639,0.71304,0.64684,0.46954,0.60121,0.86667,0.000144864,0.000144864,0.000144864
32,4938.17,0.84659,0.58661,1.07346,0.69149,0.65047,0.72795,0.65294,0.47816,0.62758,0.85683,0.000142548,0.000142548,0.000142548
33,5087.58,0.82149,0.56396,1.05244,0.5461,0.71816,0.6887,0.61615,0.46939,0.62621,0.85634,0.000140183,0.000140183,0.000140183
34,5230.43,0.8143,0.52903,1.0496,0.55236,0.70102,0.6943,0.62126,0.48376,0.62311,0.85779,0.00013777,0.00013777,0.00013777
35,5369.32,0.82921,0.53271,1.05963,0.56564,0.6956,0.70932,0.646,0.43724,0.62433,0.84677,0.000135311,0.000135311,0.000135311
36,5517.82,0.8258,0.54074,1.05439,0.70764,0.65795,0.71383,0.6583,0.42394,0.59431,0.84711,0.00013281,0.00013281,0.00013281
