epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.288,2.81284,15.1524,2.84383,0.6031,0.04167,0.02447,0.01081,2.34619,18.3356,2.38291,5.33333e-05,5.33333e-05,5.33333e-05
2,152.787,2.7505,16.8571,2.89791,0.43229,0.04167,0.01557,0.0067,2.24811,12.8451,2.29805,0.000119971,0.000119971,0.000119971
3,199.529,2.47582,9.88296,2.58884,0.00358,0.10317,0.04377,0.02194,1.66365,9.61667,2.34737,0.000186484,0.000186484,0.000186484
4,242.342,1.57775,6.26606,1.90741,0.19695,0.4246,0.16537,0.07004,1.70658,13.4658,1.7101,0.000199561,0.000199561,0.000199561
5,281.855,1.39058,4.76229,1.61451,0.40295,0.35264,0.25173,0.13284,1.47123,10.9486,1.56583,0.000199219,0.000199219,0.000199219
6,319.614,1.33974,4.11478,1.58571,0.60222,0.32182,0.33394,0.1647,1.52666,8.1047,1.67392,0.000198781,0.000198781,0.000198781
7,361.367,1.26855,3.69257,1.45538,0.63214,0.39449,0.41565,0.28392,1.19861,6.18,1.47684,0.000198246,0.000198246,0.000198246
8,406.789,1.36194,3.22938,1.57052,0.61208,0.42404,0.51465,0.33651,1.26082,5.20946,1.49502,0.000197616,0.000197616,0.000197616
9,446.655,1.25931,3.02316,1.48428,0.47643,0.54673,0.52873,0.33754,1.2519,4.02945,1.46171,0.00019689,0.00019689,0.00019689
10,486.795,1.11327,2.63518,1.37968,0.53964,0.42438,0.53968,0.38908,1.05911,3.38558,1.36718,0.000196069,0.000196069,0.000196069
11,527.088,1.25062,2.3906,1.50637,0.59909,0.51491,0.5691,0.38667,1.19684,3.2474,1.41882,0.000195155,0.000195155,0.000195155
12,567.961,1.16389,2.14354,1.43678,0.55164,0.54364,0.59264,0.45089,0.9893,2.79165,1.34049,0.000194147,0.000194147,0.000194147
13,605.765,1.08739,1.91773,1.34233,0.48592,0.57963,0.56043,0.4017,1.11239,2.72423,1.37088,0.000193048,0.000193048,0.000193048
14,647.245,1.14637,1.98233,1.41546,0.59231,0.55923,0.57625,0.44546,1.01399,2.4333,1.32036,0.000191858,0.000191858,0.000191858
15,688.556,1.12653,1.95776,1.3997,0.60159,0.52302,0.5933,0.40301,1.0483,2.31173,1.32428,0.000190578,0.000190578,0.000190578
16,728.868,1.03247,1.7665,1.30638,0.55254,0.59251,0.56917,0.44291,0.94655,2.39444,1.23499,0.00018921,0.00018921,0.00018921
