epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.319,2.7884,15.6206,2.76378,0.69333,0.04167,0.02061,0.00937,2.22344,15.2367,2.25782,5.92593e-05,5.92593e-05,5.92593e-05
2,178.07,2.24232,10.1695,2.40679,0.68135,0.05357,0.0107,0.00637,1.91514,10.1975,2.11772,0.000125895,0.000125895,0.000125895
3,216.291,1.59733,6.04467,1.79224,0.55344,0.17082,0.22881,0.1361,1.35651,14.9044,1.50707,0.000192404,0.000192404,0.000192404
4,257.269,1.41211,4.85434,1.58635,0.37323,0.34733,0.32211,0.18807,1.56077,9.12623,1.57891,0.000199561,0.000199561,0.000199561
5,297.028,1.39336,3.85538,1.56014,0.43799,0.41018,0.38149,0.25519,1.23951,5.3922,1.42299,0.000199219,0.000199219,0.000199219
6,335.134,1.37264,3.72383,1.5845,0.51236,0.30073,0.37403,0.24335,1.18261,4.87026,1.35623,0.000198781,0.000198781,0.000198781
7,374.836,1.29654,3.42835,1.49209,0.75096,0.2914,0.42257,0.28665,1.16021,3.96381,1.36556,0.000198246,0.000198246,0.000198246
8,414.373,1.25349,2.96679,1.47472,0.64861,0.38626,0.44982,0.29543,1.29943,3.55894,1.42251,0.000197616,0.000197616,0.000197616
9,453.47,1.19926,2.49734,1.43152,0.3796,0.4568,0.48895,0.31139,1.37315,3.54194,1.4776,0.00019689,0.00019689,0.00019689
10,494.217,1.22783,2.31355,1.47505,0.58376,0.39117,0.47044,0.34988,1.12367,3.37982,1.35684,0.000196069,0.000196069,0.000196069
11,534.818,1.13751,2.09107,1.42063,0.67936,0.3518,0.50974,0.33522,1.13436,3.10924,1.33953,0.000195155,0.000195155,0.000195155
12,576.284,1.11145,2.07786,1.38872,0.63914,0.39187,0.52752,0.28706,1.34193,3.19112,1.46906,0.000194147,0.000194147,0.000194147
13,616.18,1.0596,1.80898,1.32482,0.6491,0.48118,0.56553,0.34323,1.29246,2.60329,1.42975,0.000193048,0.000193048,0.000193048
14,653.968,1.03463,1.69748,1.29931,0.6523,0.73074,0.71777,0.43443,1.35768,2.32028,1.46037,0.000191858,0.000191858,0.000191858
15,698.898,1.04979,1.56291,1.33348,0.71138,0.62868,0.65632,0.41217,1.21527,2.32593,1.36288,0.000190578,0.000190578,0.000190578
16,737.75,1.04895,1.58484,1.31334,0.79118,0.54097,0.63374,0.48449,1.081,2.23419,1.33878,0.00018921,0.00018921,0.00018921
17,776.154,1.14961,1.52784,1.40605,0.51214,0.53927,0.63193,0.38142,1.54209,2.2876,1.62974,0.000187754,0.000187754,0.000187754
18,814.333,1.0891,1.43305,1.33267,0.76312,0.50827,0.63647,0.41585,1.26346,2.03321,1.46817,0.000186213,0.000186213,0.000186213
19,853.542,1.05225,1.29437,1.32611,0.43801,0.48462,0.56957,0.39783,1.1508,2.0956,1.39384,0.000184588,0.000184588,0.000184588
20,896.168,1.03069,1.34458,1.32941,0.56036,0.59339,0.6048,0.41939,1.1019,2.19816,1.3975,0.000182881,0.000182881,0.000182881
21,936.087,1.00826,1.23939,1.32038,0.6028,0.59618,0.63305,0.4579,1.02745,2.05133,1.38917,0.000181093,0.000181093,0.000181093
22,972.972,1.03502,1.29019,1.34174,0.62495,0.72914,0.73875,0.519,1.0283,1.66582,1.34625,0.000179225,0.000179225,0.000179225
23,1015.82,1.06346,1.15524,1.34332,0.61262,0.6195,0.72456,0.53186,0.93736,1.70431,1.31446,0.000177281,0.000177281,0.000177281
24,1054.87,1.00269,1.1043,1.27866,0.736,0.66898,0.7166,0.53918,0.99424,1.69849,1.30132,0.000175261,0.000175261,0.000175261
