epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2143.24,0.96132,2.86769,1.11471,0.21932,0.36862,0.23544,0.10747,2.22583,7.3061,2.92985,0.00996441,0.00332147,0.00996441,0.00332147,0.00996441,0.00332147,0.00996441,0.00332147
2,4260.18,0.80375,0.70347,1.02451,0.15116,0.34717,0.20721,0.10997,2.86034,10.6574,4.07083,0.0199595,0.00665318,0.0199595,0.00665318,0.0199595,0.00665318,0.0199595,0.00665318
3,6406.71,0.83848,0.68605,1.04104,0.16851,0.2986,0.16351,0.06358,3.03785,11.8731,4.32429,0.0299351,0.00997838,0.0299351,0.00997838,0.0299351,0.00997838,0.0299351,0.00997838
4,8517.69,0.79292,0.59448,1.01742,0.19129,0.38153,0.22628,0.11434,3.23176,11.1343,4.12592,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,10619.3,0.69811,0.50654,0.97644,0.30729,0.40758,0.2763,0.11859,2.81498,7.19758,3.89594,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,12750.2,0.6068,0.45137,0.94126,0.42019,0.29057,0.30024,0.1426,2.66646,7.11766,3.80632,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,14836.3,0.55938,0.41641,0.92212,0.2472,0.35783,0.22743,0.107,2.48783,7.29714,3.50395,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,16898.3,0.54074,0.40072,0.91718,0.27712,0.31986,0.27262,0.12734,2.67368,5.48676,3.89093,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,18936,0.52189,0.3885,0.90989,0.25159,0.30573,0.22828,0.11515,2.94784,7.57216,4.22694,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,21023.1,0.50416,0.37399,0.90006,0.35109,0.33963,0.28962,0.12329,3.55505,9.58221,4.76876,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,23050.4,0.49321,0.36719,0.89988,0.36909,0.28992,0.255,0.10865,2.77892,9.06559,4.21623,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,25087.6,0.47684,0.3487,0.89123,0.41559,0.3656,0.21445,0.10228,2.76493,8.88429,3.75596,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,27117.5,0.47096,0.34544,0.89075,0.30103,0.37571,0.27822,0.12308,2.88266,7.69741,4.21107,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,29170.5,0.46274,0.33975,0.88978,0.2745,0.30776,0.24065,0.1122,2.71915,7.33423,4.09349,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,31256,0.45547,0.33679,0.88605,0.33844,0.33233,0.25967,0.1145,3.21469,8.28629,4.59834,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,33413.9,0.44671,0.32913,0.88174,0.32883,0.28148,0.25303,0.1201,2.67302,7.62183,4.00497,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
